Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
20250.0	20300.0	750	500	4
20300.0	20350.0	750	500	4
20350.0	20400.0	750	500	4
20400.0	20450.0	750	100	2
20450.0	20500.0	750	100	2
20500.0	20550.0	750	100	2
20550.0	20600.0	750	500	4
20600.0	20650.0	750	500	4
20650.0	20700.0	750	500	4
20700.0	20750.0	750	500	4
20750.0	20800.0	750	500	4
20800.0	20850.0	750	500	4
20850.0	20900.0	750	500	4
20900.0	20950.0	750	500	4
20950.0	21000.0	750	500	4
21000.0	21050.0	750	500	4
21050.0	21100.0	750	500	4
21100.0	21150.0	750	500	4
21150.0	21200.0	750	100	2
21200.0	21250.0	750	100	2
21250.0	21300.0	750	100	2
21300.0	21350.0	750	100	2
21350.0	21400.0	750	100	2
21400.0	21450.0	750	100	2
21450.0	21500.0	750	100	2
21500.0	21550.0	750	100	2
21550.0	21600.0	750	100	2
21600.0	21650.0	750	100	2
21650.0	21700.0	750	100	2
21700.0	21750.0	750	300	2
21750.0	21800.0	750	300	2
21800.0	21850.0	750	300	2
21850.0	21900.0	750	300	2
21900.0	21950.0	750	300	2
21950.0	22000.0	750	300	2
22000.0	22050.0	750	300	2
22050.0	22100.0	750	300	2
22100.0	22150.0	750	100	2
22150.0	22200.0	750	100	2
22200.0	22250.0	750	100	2
22250.0	22300.0	750	100	2
22300.0	22350.0	750	100	2
22350.0	22400.0	750	100	2
22400.0	22450.0	750	100	2
22450.0	22500.0	750	100	2
22500.0	22550.0	750	400	4
22550.0	22600.0	750	400	4
22600.0	22650.0	750	400	4
22650.0	22700.0	750	400	4
22700.0	22750.0	750	400	4
22750.0	22800.0	750	400	4
22800.0	22850.0	750	400	4
22850.0	22900.0	750	400	4
22900.0	22950.0	750	400	4
22950.0	23000.0	750	400	4
23000.0	23050.0	750	400	4
23050.0	23100.0	750	400	4
23100.0	23150.0	750	400	4
23150.0	23219.0	750	400	4
23219.0	23269.0	750	400	4
23269.0	23319.0	750	400	4
23319.0	23369.0	750	400	4
23369.0	23419.0	750	400	4
23419.0	23469.0	750	400	4
23469.0	23519.0	750	400	4
23519.0	23569.0	750	400	4
23569.0	23619.0	750	400	4
23619.0	23669.0	750	400	4
23669.0	23719.0	750	400	4
23719.0	23769.0	750	400	4
23769.0	23819.0	750	400	4
23819.0	23869.0	750	400	4
23869.0	23919.0	750	400	4
23919.0	23969.0	750	200	2
23969.0	24019.0	750	200	2
24019.0	24069.0	750	200	2
24069.0	24119.0	750	200	2
24119.0	24169.0	750	300	2
24169.0	24219.0	750	300	2
24219.0	24269.0	750	300	2
24269.0	24319.0	750	300	2
24319.0	24369.0	750	300	2
24369.0	24419.0	750	300	2
24419.0	24469.0	750	300	2
24469.0	24519.0	750	300	2
24519.0	24569.0	750	300	2
24569.0	24619.0	750	300	2
24619.0	24669.0	750	300	2
24669.0	24719.0	750	300	2
24719.0	24769.0	750	100	2
24769.0	24819.0	750	100	2
24819.0	24869.0	750	100	2
24869.0	24919.0	750	100	2
24919.0	24969.0	750	100	2
24969.0	25019.0	750	100	2
25019.0	25069.0	750	100	2
25069.0	25119.0	750	400	2
25119.0	25169.0	750	400	2
